225.0	0.0	0.983
225.0	800.0	1.393
225.0	100.0	1.034
225.0	200.0	1.118
225.0	300.0	1.204
225.0	400.0	1.272
225.0	500.0	1.345
225.0	600.0	1.409
225.0	700.0	1.421
100.0	0.0	0.995
100.0	800.0	1.800
100.0	100.0	1.040
100.0	200.0	1.129
100.0	300.0	1.193
100.0	400.0	1.244
100.0	500.0	1.291
100.0	600.0	1.519
100.0	700.0	1.203
325.0	0.0	0.976
325.0	800.0	1.454
325.0	100.0	1.029
325.0	200.0	1.112
325.0	300.0	1.198
325.0	400.0	1.252
325.0	500.0	1.358
325.0	600.0	1.387
325.0	700.0	1.403
200.0	0.0	0.985
200.0	800.0	1.592
200.0	100.0	1.035
200.0	200.0	1.122
200.0	300.0	1.215
200.0	400.0	1.309
200.0	500.0	1.264
200.0	600.0	1.329
200.0	700.0	1.282
300.0	0.0	0.978
300.0	800.0	1.289
300.0	100.0	1.028
300.0	200.0	1.114
300.0	300.0	1.206
300.0	400.0	1.288
300.0	500.0	1.295
300.0	600.0	1.369
300.0	700.0	1.408
175.0	0.0	0.987
175.0	800.0	1.731
175.0	100.0	1.038
175.0	200.0	1.120
175.0	300.0	1.219
175.0	400.0	1.275
175.0	500.0	1.283
175.0	600.0	1.418
175.0	700.0	1.414
275.0	0.0	0.980
275.0	800.0	1.510
275.0	100.0	1.029
275.0	200.0	1.116
275.0	300.0	1.196
275.0	400.0	1.258
275.0	500.0	1.311
275.0	600.0	1.391
275.0	700.0	1.462
150.0	0.0	0.990
150.0	800.0	1.343
150.0	100.0	1.034
150.0	200.0	1.124
150.0	300.0	1.218
150.0	400.0	1.254
150.0	500.0	1.384
150.0	600.0	1.497
150.0	700.0	1.608
375.0	0.0	0.973
375.0	800.0	1.578
375.0	100.0	1.028
375.0	200.0	1.123
375.0	300.0	1.193
375.0	400.0	1.270
375.0	500.0	1.374
375.0	600.0	1.319
375.0	700.0	1.403
250.0	0.0	0.981
250.0	800.0	1.489
250.0	100.0	1.030
250.0	200.0	1.119
250.0	300.0	1.206
250.0	400.0	1.277
250.0	500.0	1.319
250.0	600.0	1.372
250.0	700.0	1.350
125.0	0.0	0.992
125.0	800.0	1.391
125.0	100.0	1.037
125.0	200.0	1.125
125.0	300.0	1.197
125.0	400.0	1.269
125.0	500.0	1.239
125.0	600.0	1.328
125.0	700.0	1.439
350.0	0.0	0.973
350.0	800.0	1.578
350.0	100.0	1.028
350.0	200.0	1.123
350.0	300.0	1.193
350.0	400.0	1.270
350.0	500.0	1.374
350.0	600.0	1.319
350.0	700.0	1.403

